,Unnamed: 0,wise_designation,ps_ra,ps_dec,zPSFStackMag,highz_prob,qso_prob,Mstar_prob,predicted_redshift,spectroscopic_redshift,known_quasar,photometric_follow_up,observed,still_to_observe
0,0,J045206.46-055631.5,73.0265845163,-5.94217503628,20.026339,0.849300575862,0.853163171507,0.146836828493,5.1286786397099995,,False,False,False,True
1,1,J014057.00-114059.5,25.2376246008,-11.683147267699999,20.215204,0.631776960977,0.640123751827,0.23322030741,6.149335476189999,5.85,True,False,False,False
2,2,J010806.59+071119.9,17.0274362271,7.189236697360001,19.48508,0.879211786785,0.912519706014,0.0854545610342,5.430426666669999,5.53,True,False,False,False
3,3,J165951.02+323928.4,254.96262737200001,32.6579585481,19.831118,0.9866666666670001,0.996232791555,0.003767208445420001,5.130365938580001,5.17,True,False,False,False
4,4,J121447.83+273843.6,183.69928468700002,27.6455658672,20.320028,0.9593722394509999,0.983333333333,0.0166666666667,4.91036856577,4.907,True,False,False,False
5,5,J034716.61-264811.0,56.819216470200004,-26.8029694278,19.920714999999998,0.82490543725,0.9683761070999999,0.031019873094900008,4.85021993024,,False,False,False,True
6,6,J015804.13-290519.0,29.5172863839,-29.0887007091,19.503629999999998,0.496257326,0.722872259022,0.193456916249,5.874735,5.99,True,False,False,False
7,7,J020053.00-294248.8,30.2208100742,-29.713658091,19.439587,0.959386140034,0.9899154023450001,0.0100845976546,5.09212966998,,False,False,False,True
8,8,J161622.09+050127.5,244.092129968,5.02436731546,18.709991,0.937129342333,0.986534177608,0.0134658223915,4.86723076305,4.872,True,False,False,False
9,9,J161451.90+055821.2,243.716252903,5.97262758423,20.376078,0.858369285381,0.962455728199,0.024210938467500002,5.00629403689,,False,False,False,True
10,10,J093337.65+754158.0,143.40712971600001,75.6994768491,18.793684,0.8193163749969999,0.8592290088590001,0.137437657808,5.08931061864,,False,False,False,True
11,11,J094207.67+773024.0,145.532125425,77.5069680576,20.118937,0.819745240519,0.853026786618,0.143639880049,5.2940785550300005,,False,False,False,True
12,12,J131013.10-063952.6,197.55457929099998,-6.664348533359997,19.967968,0.9762915048890001,0.98714240146,0.0128575985401,5.04332385965,5.03,True,False,False,False
13,13,J134047.87+281106.3,205.200008565,28.1850439946,20.119698,0.635545202013,0.666110967644,0.32476404551800003,5.605301666669999,,False,False,False,True
14,14,J171641.28+244706.9,259.17172061900004,24.7852213765,19.861452,0.418943579277,0.575698180319,0.27977098651099996,5.80066,,False,False,False,True
15,15,J143629.92+063507.9,219.124766259,6.58555647637,19.507797,0.9325829462909999,0.972508154124,0.0274918458756,4.82800053803,4.779,True,False,False,False
16,16,J152055.71+431652.4,230.23211824700002,43.2812003329,20.287945,0.7387324938500001,0.758612290603,0.197152149397,5.824,,False,True,False,True
17,17,J074653.41+470517.9,116.72261201,47.0883234156,20.076667999999998,0.810335928089,0.8965524179469999,0.09011424871919999,4.8844055209,4.7912,True,False,False,False
18,18,J105123.04+354534.5,162.845974491,35.7595239981,18.621527,0.982929944735,0.998132164355,0.00186783564549,4.922678675959999,4.91,True,False,False,False
19,19,J091552.77+520341.6,138.96976846,52.0616882372,20.231804,0.412444045849,0.695582787368,0.21678760531,5.779221666669999,,False,False,False,True
20,20,J011614.30+053817.1,19.0596062612,5.63821582653,19.30226,0.903176962334,0.9065102956669999,0.093489704333,5.2199926225,5.33,True,False,False,False
21,21,J112733.20-212553.7,171.88850653,-21.4314696574,20.071146,0.85886888243,0.893819459504,0.09265998050869999,5.03347605957,,False,False,False,True
22,22,J162838.81+063859.0,247.16179962099997,6.64974489993,19.606945,0.956637982119,0.9897392765080001,0.0102607234918,4.90388331005,4.85,True,False,False,False
23,23,J162546.54+081128.5,246.44373598200002,8.19082533838,20.271286,0.976609787042,0.996609787042,0.003390212958,4.887380815069999,,False,False,False,True
24,24,J134141.46+461110.2,205.42272069400002,46.1861641083,20.455135000000002,0.9699713154530001,0.993304648786,0.00669535121394,5.043810562809999,5.0233,True,False,False,False
25,25,J173926.71+270256.8,264.86104293,27.049236915300003,20.046201999999997,0.8963975029350001,0.907825162707,0.0921748372931,5.193736041459999,,False,False,False,True
26,26,J015528.33+204444.1,28.8680190181,20.7456096297,20.090153,0.849518242514,0.941981574172,0.048396972866400004,4.84265753536,,False,False,False,True
27,27,J095334.71+735342.0,148.393518831,73.8953250679,19.994091,0.411589545588,0.420278198455,0.499001555488,5.69027333333,,False,False,False,True
28,28,J100818.66+760526.8,152.078318026,76.0905755879,20.421888,0.938636132705,0.965622051681,0.0316844721883,5.07036697611,,False,False,False,True
29,29,J134459.75-115140.0,206.24909061099999,-11.8612267407,19.750608,0.9021661199590001,0.939520071356,0.0604799286443,5.05753401706,,False,False,False,True
30,30,J075907.58+180054.9,119.781590112,18.0152125293,19.25173,0.982100768241,0.9966666666670001,0.0033333333333300003,4.83576035665,4.7780000000000005,True,False,False,False
31,31,J185204.42+650853.9,283.018417561,65.14834901489999,19.656788,0.946567680771,0.9863500300679999,0.0136499699324,5.20395063728,,False,False,False,True
32,32,J122146.42+444528.1,185.44343899400002,44.7577866357,19.953632,0.9866666666670001,0.9933333333329999,0.00666666666667,5.14545843175,5.191,True,False,False,False
33,33,J174856.69+503436.9,267.236259632,50.57689931350001,20.318499,0.851810632257,0.9016358270039999,0.0950308396625,5.06369601387,,False,False,False,True
34,34,J175244.09+503633.1,268.183743234,50.6091896559,19.027494,0.927960241031,0.9864182987610001,0.0100855641719,4.98102542989,5.02,True,False,False,False
35,35,J161435.34+011444.4,243.647337104,1.2457771897399998,19.786417,0.560920931733,0.6858222699969999,0.23464015978,5.833641666669999,5.82,True,False,False,False
36,36,J010744.38-181812.5,16.9347727591,-18.3033614854,20.384262,0.802275375874,0.9592778558030001,0.0377673579025,4.83952107273,,False,False,False,True
37,37,J201739.30-293448.0,304.41393483900004,-29.5800921767,19.679848,0.8158198088070001,0.8296824044519999,0.170317595548,5.518415333330001,,False,False,False,True
38,38,J111920.62+345248.5,169.835957587,34.8800370438,19.810999,0.981731303262,0.9933333333329999,0.00666666666667,4.840128280369999,4.981,True,False,False,False
39,39,J112450.68+363710.4,171.211179719,36.6195339522,19.841005,0.9548151939470001,1.0,0.0,4.85483654242,4.81,True,False,False,False
40,40,J125224.35-282624.5,193.10145260299998,-28.440149217800002,19.984293,0.823180783381,0.9226267050220001,0.0773732949785,4.832737132869998,,False,False,False,True
41,41,J100449.58+404554.2,151.20661785,40.7650016957,20.03947,0.982873542158,0.9932200511310001,0.00677994886851,4.85357562319,4.8831,True,False,False,False
42,42,J085048.23+324647.7,132.701041562,32.7799465404,20.218592,0.860305299877,0.9191009840100001,0.07485023550230001,5.8638658571399995,5.867000000000001,True,False,False,False
43,43,J010512.36+364008.1,16.3016241936,36.6689077268,20.491310000000002,0.641245471494,0.649079605632,0.291217047753,6.19931714286,,False,False,False,True
44,44,J160207.98+523717.9,240.53314899900002,52.62162134770001,19.750035999999998,0.969653491026,0.992899458221,0.00710054177875,4.91075226667,4.914,True,False,False,False
45,45,J041314.79-135935.8,63.31161332600001,-13.9933152472,19.704335999999998,0.96964387434,0.9895565082019999,0.0104434917979,5.05621606667,,False,False,False,True
46,46,J122237.97+195842.9,185.658174824,19.9786202548,20.194954,0.966637982119,0.973304648786,0.023362017880599998,5.10061134893,5.13,True,False,False,False
47,47,J070139.95+524303.9,105.416456215,52.717738901400004,18.77659,0.816525189387,0.863579686189,0.133086980478,5.14942453333,,False,False,False,True
48,48,J101336.35+424026.5,153.401391389,42.674029738200005,19.829313,0.9727592934379999,0.983105802412,0.013560864254399998,4.99788730621,5.03,True,False,False,False
49,49,J120131.55+053510.0,180.381548449,5.58615286831,19.081332999999997,0.969985611759,0.984443617288,0.0123276827838,4.86812968074,4.795,True,False,False,False
50,50,J120737.45+063010.6,181.905974043,6.502800808559999,20.470852,0.861898496049,0.8911322396,0.09483023141039999,6.01318733333,6.04,True,False,False,False
51,51,J120256.44+072039.1,180.73518075099997,7.344118047589999,20.07124,0.959219451311,0.9899713154530001,0.010028684547299998,4.88897420888,4.7853,True,False,False,False
52,52,J095019.67-171108.8,147.581855297,-17.1862349551,19.920332000000002,0.859347603433,0.869668973531,0.130331026469,5.025976482330001,,False,False,False,True
53,53,J114143.17+711925.9,175.42945151599997,71.3236224419,20.314716,0.90590500998,0.949267119796,0.0133620178806,5.8949866666699995,,False,False,False,True
54,54,J215043.55-235645.7,327.68154021,-23.9460301448,20.258308,0.833275964239,0.9326649191590001,0.0640017475081,5.16878454002,,False,False,False,True
55,55,J023811.74+360754.0,39.5484279569,36.1315082773,19.967067999999998,0.8292551604269999,0.832814799487,0.167185200513,5.493783333330001,,False,False,False,True
56,56,J215000.69+171226.4,327.503120143,17.2070429111,20.013826,0.806489594097,0.847979588249,0.145891056022,4.94464170006,,False,False,False,True
57,57,J012646.68+180324.9,21.6947654648,18.057072315899998,19.850046,0.411676210527,0.436744509111,0.505801742375,5.608783333330001,,False,False,False,True
58,58,J232536.63-055328.3,351.40266115800006,-5.89123198436,19.271314999999998,0.919572100995,0.926151401524,0.0738485984763,5.19813964053,5.22,True,False,False,False
59,59,J131326.06-261721.9,198.35856104599998,-26.2893978652,19.269436,0.89650932915,0.9152727310950001,0.08472726890519999,5.473453333330001,5.5,True,False,False,False
60,60,J032615.68-061358.2,51.5654248061,-6.2328018711099995,19.718870000000006,0.843240591224,0.877380378516,0.0763023651782,5.61674214286,,False,False,True,False
61,61,J222612.41-061807.1,336.551733441,-6.30204638783,18.816470000000002,0.948792888089,0.984211578344,0.0157884216562,4.99377376334,5.08,True,False,False,False
62,62,J222845.11-075754.9,337.188075376,-7.965372265339999,20.089666,0.976038906118,0.99,0.00666666666667,4.972453434559999,5.142,True,False,False,False
63,63,J101840.37+285001.0,154.668559587,28.8335277334,20.188795000000002,0.9354037829649999,0.954831305007,0.037372014991699995,4.81613165068,4.780009746549999,True,False,False,False
64,64,J142526.08+082718.0,216.35874913599997,8.45512287219,19.059317,0.94278968278,0.969334085943,0.030665914056599998,4.91929503059,4.938,True,False,False,False
65,65,J091037.09+674026.9,137.65449681799998,67.6741355861,19.345854,0.963121895448,0.966637982119,0.033362017880599996,4.9856085358,,False,False,False,True
66,66,J141636.77-083905.7,214.153114807,-8.651626206769999,19.743204000000002,0.9933333333329999,1.0,0.0,5.0087566062199995,,False,False,False,True
67,67,J100416.11+434738.8,151.067191286,43.794187293,19.457253,0.9262722951029999,0.95995213741,0.0367145292568,4.85504470749,4.8716,True,False,False,False
68,68,J094530.64+264610.4,146.377790959,26.7696654493,20.352111999999998,0.92246603569,0.985297137626,0.014702862373899997,4.8363493522,,False,False,False,True
69,69,J113414.24+082853.8,173.559259661,8.48148083497,20.150760000000002,0.6128717940089999,0.887898372863,0.0803719365699,5.61995166667,5.69,True,False,False,False
70,70,J142634.86+543624.6,216.645237422,54.6063087567,19.854273000000006,0.99,1.0,0.0,4.8636820815499995,4.848,True,False,False,False
71,71,J220226.78+150952.4,330.611552067,15.164541056500001,18.685205,0.829482731785,0.874055207344,0.125944792656,5.0823128693,5.07,True,False,False,False
72,72,J091818.77-134313.9,139.578224323,-13.720467106500001,19.697001999999998,0.979653491026,0.9964346277220001,0.0035653722778299997,4.88498629434,,False,False,False,True
73,73,J145805.96+332722.7,224.525006119,33.456399822600005,19.63263,0.9933333333329999,0.9966666666670001,0.0033333333333300003,4.845041462799999,4.83,True,False,False,False
74,74,J032829.74-012647.8,52.1238758174,-1.44659791439,20.354858,0.843530098413,0.949267310092,0.0507326899083,4.89147517424,,False,False,False,True
75,75,J031805.38-032310.1,49.5224732435,-3.3861771868,19.667007,0.963248735679,0.973248735679,0.0267512643212,5.061143535299999,,False,False,False,True
76,76,J113910.07-121704.8,174.79198252900002,-12.2845470951,20.059078,0.7570979209280001,0.931021847627,0.04959603855190002,5.854727857139999,5.81,True,False,False,False
77,77,J113735.36-104934.5,174.39732825599998,-10.8262677863,19.820513000000002,0.9098995421080001,0.923232875441,0.0734869421325,5.522798333330001,,False,False,False,True
78,78,J121536.66+533129.4,183.90277351900002,53.5247946021,20.427319,0.949664458522,0.982638734729,0.017361265270499998,5.027326413430001,,False,False,False,True
79,79,J221302.61-292115.6,333.26146192,-29.354291579,20.086023,0.59223547362,0.748061257403,0.14059927901900002,5.732538333330001,,False,False,False,True
80,80,J232911.44+021720.2,352.297684214,2.2890743227400003,20.393744,0.813568515887,0.9216993789910001,0.0783006210088,4.8838554504300005,,False,False,False,True
81,81,J113246.50+120901.3,173.19375830200005,12.1504800359,19.267494,0.903276453709,0.9116088563179999,0.08839114368180001,5.17946450231,5.167000000000002,True,False,False,False
82,82,J044548.18-021959.9,71.4507797283,-2.33330526074,19.226675,0.946554783319,0.9515538525949999,0.031844004141099995,5.7502623809500015,5.69,True,False,False,False
83,83,J000239.39+255035.1,0.664150812078,25.843015465900002,19.141314,0.894469921797,0.912536012155,0.0524710812802,5.917548666669999,5.82,True,False,False,False
84,84,J000121.62+265008.9,0.34013716329899996,26.835879156,19.341864,0.588806679545,0.728112587909,0.2347885052,5.80179892857,5.75,True,False,False,False
85,85,J154346.84+170028.2,235.945046114,17.007884661800002,20.288157,0.8519745147300001,0.8697801181550001,0.0980101189394,5.83702642857,5.82,True,False,False,False
86,86,J140514.69+412521.6,211.31122155,41.4226389341,20.39188,0.909286675279,0.956147227383,0.040519439284,5.12694438564,,False,False,False,True
87,87,J134015.11+392631.3,205.06266438900002,39.4418826699,19.451324,0.9960389061180001,0.9966666666670001,0.0033333333333300003,4.99196916302,5.03,True,False,False,False
88,88,J212328.87-242137.2,320.870253721,-24.360454812199997,20.224142,0.887118104122,0.9297651536310001,0.047519399214900004,5.878323333330001,5.73,True,False,False,False
89,89,J132244.90-241008.5,200.687228743,-24.169374856399997,19.944304000000002,0.8065102956669999,0.8098436290000001,0.19015637100000002,5.1956350787400005,,False,False,False,True
90,90,J133550.79+353316.1,203.961692389,35.5544142734,20.254644,0.9666666666670001,0.9766666666670001,0.02,5.911226666669999,5.93,True,False,False,False
91,91,J134154.01+351005.7,205.475065765,35.1682752048,19.899616,0.986637982119,0.9999713154530001,2.86845472737e-05,5.12367157143,5.2672,True,False,False,False
92,92,J142325.99+130259.8,215.858009947,13.0502024442,19.482914,0.928847156045,0.9639271368269999,0.033615263928900005,4.979560332569999,5.021,True,False,False,False
93,93,J142731.33+141840.4,216.880534846,14.3113053296,20.101694000000002,0.878999224982,0.973675807174,0.0229908594927,4.930547205,,False,False,False,True
94,94,J112230.98-284310.6,170.62940811200002,-28.720019995599998,20.185314,0.44918388143,0.553166772408,0.37695301293300004,5.728175833330001,,False,False,False,True
95,95,J222531.58+090314.1,336.381891066,9.053949932110001,20.439276,0.715833696434,0.7463114850489999,0.154247111181,5.69125833333,,False,False,False,True
96,96,J235124.32-045907.8,357.851254785,-4.98538991342,20.109924,0.8694133685940001,0.9298871127420001,0.07011288725789999,5.09852147102,5.25,True,False,False,False
97,97,J234743.09-051830.4,356.929940104,-5.308274787219999,20.388077,0.666035701991,0.744388884325,0.20017895182,5.72139,,False,False,False,True
98,98,J125353.39+104602.9,193.472277617,10.7675350981,19.098164,0.948488606592,0.986938233564,0.0102320389445,4.8906313619,4.9110000000000005,True,False,False,False
99,99,J110217.14+381048.3,165.571433416,38.1800777947,19.468996,0.976552907417,0.986552907417,0.013447092582700002,4.89434097795,4.88,True,False,False,False
100,100,J000325.52-163109.6,0.8562681490549999,-16.5191931279,19.333971,0.9933333333329999,0.9966666666670001,0.0033333333333300003,5.1219113075900005,,False,False,False,True
101,101,J094929.82-145128.5,147.374214216,-14.8581151526,20.198744,0.889800664156,0.90313399749,0.0968660025103,5.25953055781,,False,False,False,True
102,102,J095709.30-145607.1,149.28870601399998,-14.9353095866,19.374086,0.853697560781,0.983971111964,0.0160288880361,4.89941749867,,False,False,False,True
103,103,J092333.01-152249.4,140.887497956,-15.3804336823,19.979001999999998,0.8563978596870001,0.859913946358,0.136752720308,5.20793365795,,False,False,False,True
104,104,J092352.39-180119.8,140.968699305,-18.02245645,19.925138,0.860643873416,0.9628177990960001,0.0371822009039,5.02358679502,,False,False,False,True
105,105,J110942.97-285521.0,167.428748245,-28.9223014974,20.035114,0.876623577869,0.916503374621,0.0834966253786,5.09340434834,5.01,False,False,True,False
106,106,J121122.08+375403.1,182.84192289599997,37.900828750900004,19.682848,0.9162632780679999,0.981174981206,0.0188250187939,4.8033060597300015,4.745,True,False,False,False
107,107,J092216.83+265359.5,140.570033671,26.8997092934,20.191587,0.938870791037,0.9431783938930001,0.056821606107,5.03861974222,5.0318,True,False,False,False
108,108,J211339.15-194916.9,318.413145078,-19.8209692816,20.360863000000002,0.4697848777750001,0.4972672672,0.4240676575990001,5.6136233333300005,,False,False,False,True
109,109,J212107.29-194553.8,320.280047736,-19.7650055079,20.150726000000002,0.481616541677,0.506692049942,0.465209271423,5.60142,,False,False,False,True
110,110,J163752.18+024158.1,249.467404948,2.69955448143,19.307991,0.565467281127,0.760133551972,0.134123882991,5.800634,5.76,False,False,True,False
111,111,J112412.75-273805.2,171.053364272,-27.6346164823,20.189392,0.856440824531,0.8698367079549999,0.13016329204500002,5.13549084946,,False,False,False,True
112,112,J235632.46-062259.4,359.13521423699996,-6.38313849321,20.05309,0.842443023677,0.920892604867,0.035465799489699995,5.902467333330001,6.15,True,False,False,False
113,113,J105502.90+402435.3,163.762341018,40.4098515277,19.660702,0.9499713154530001,0.9695487430869999,0.030451256913,4.95582142417,4.85,True,False,False,False
114,114,J105840.41+804917.8,164.666011223,80.82189208060001,20.290627999999998,0.839685814824,0.8758056128120001,0.12419438718800001,5.2326065150300005,,False,False,False,True
115,115,J114223.23+822925.1,175.595896783,82.4904127405,20.21282,0.835779984298,0.8427931599390001,0.154076404571,5.4640900000000014,,False,False,False,True
116,116,J114311.95+804842.2,175.801424875,80.8121669085,20.417103,0.495437617784,0.541945307145,0.32191873405,5.957418333330001,,False,False,False,True
117,117,J170133.05+424730.7,255.387652932,42.7918188127,19.36786,0.945445166514,0.979566124888,0.0204338751121,5.0716347086699995,,False,False,False,True
118,118,J094045.37-133333.2,145.189212265,-13.5589535202,19.553728,0.809098518992,0.8164582036069999,0.176979763132,5.46118549253,,False,False,False,True
119,119,J095234.65+822418.1,148.143689986,82.4050916153,20.465876,0.85495936959,0.9110733572930001,0.088926642707,5.02624925924,,False,False,False,True
120,120,J075802.41+250403.6,119.510209768,25.067513635799997,20.394796,0.915762210834,0.972630836055,0.0273691639447,5.14280579546,,False,False,False,True
121,121,J112650.71-044712.4,171.711304302,-4.78672603484,20.36135,0.8975823152529999,0.9726387347290001,0.024027931937199997,4.83045032624,,False,False,False,True
122,122,J152023.85+682825.6,230.09938077799998,68.47381595819999,20.215967000000006,0.8292740616150001,0.939132629776,0.0475340368905,4.8096173102,,False,False,False,True
123,123,J105237.40+164108.5,163.156009401,16.6858144123,20.369974,0.98,0.9933333333329999,0.00666666666667,4.832481915,4.815,True,False,False,False
124,124,J143604.99+213239.5,219.02083548299998,21.5442395361,19.600126,0.9133333333329999,0.924528954161,0.0754710458393,5.12810210999,5.22,True,False,False,False
125,125,J143751.80+232313.8,219.46593845099997,23.3870352759,19.5723,0.9896390867749999,0.993318929083,0.0066810709172100005,5.20582906941,5.305,True,False,False,False
126,126,J041527.53-080608.8,63.8647501423,-8.10241129871,19.995586,0.989139397063,0.99,0.01,5.0097727165800015,,False,False,False,True
127,127,J083643.85+005453.1,129.182748596,0.914785930932,18.769886,0.605413060398,0.7667905068430001,0.137513972873,5.804444999999999,5.82,True,False,False,False
128,128,J084322.55+031719.2,130.844159598,3.2889696005299998,20.09522,0.873184156903,0.879625994306,0.12037400569399999,5.24152569147,,False,False,False,True
129,129,J151901.24+042348.4,229.755298367,4.39683270241,19.89225,0.966625172191,0.983291838857,0.0133748278095,5.01686676363,4.94,True,False,False,False
130,130,J081248.81+044056.7,123.203404266,4.6823868947300005,19.867794,0.99,0.999566124888,0.00043387511208599995,5.17111980691,5.29,True,False,False,False
131,131,J225501.30+304057.5,343.75552313099996,30.6826776952,19.921623,0.982640315385,0.9933333333329999,0.00397319053619,4.90965592925,,False,False,False,True
132,132,J224946.43+344137.7,342.44347968299996,34.6936286685,20.369486,0.8563380772399999,0.892355509131,0.10764449086899999,5.27850219452,,False,False,False,True
133,133,J225207.21-164300.0,343.030607633,-16.716710207200002,20.095854,0.43640659757100003,0.518945573175,0.471212098003,5.633323333330001,,False,False,False,True
134,134,J113717.71+354956.8,174.323849198,35.832442698499996,19.455532,0.9291044486650001,0.9315302786249999,0.05453682579,5.943504095240001,6.01,True,False,False,False
135,135,J114338.32+380828.4,175.90970617099998,38.1413305722,20.129496,0.873204680364,0.873204680364,0.0839240423911,5.82558519048,5.81,True,False,False,False
136,136,J130152.55+221011.3,195.469008103,22.1700525796,19.520891,0.959539731777,0.9854133651000001,0.013524395083700002,4.83357446674,4.8288,True,False,False,False
137,137,J131234.08+230716.3,198.142000644,23.1211849042,19.09084,0.94927818956,0.969551720637,0.0304482793626,4.93041096626,4.891,True,False,False,False
138,138,J012053.91+214707.1,20.224663994500002,21.785122994899996,20.21152,0.923092854149,0.946305984235,0.0536940157651,5.132283516459999,5.46,True,False,False,False
139,139,J115922.23+262915.6,179.842516907,26.487618585,19.640810000000002,0.9966666666670001,1.0,0.0,4.87410251675,4.88,True,False,False,False
140,140,J071228.99+550341.2,108.120726821,55.061505269499996,20.026964000000003,0.9526403153849999,0.9831749659639999,0.0168250340361,4.98663950832,,False,False,False,True
141,141,J085556.92+653212.0,133.987160377,65.5367048088,19.135891,0.913240559481,0.931024719783,0.0689752802169,5.23481738852,,False,False,False,True
142,142,J235713.07+371232.6,359.30435543,37.209123642600005,19.24127,0.951569341154,0.99,0.01,4.91390592702,,False,False,False,True
143,143,J162626.49+275132.4,246.610431146,27.8590205995,18.681936,0.82622961889,0.882222591416,0.10444407525,5.16865197709,5.16,True,False,False,False
144,144,J124510.10+434837.9,191.292162855,43.810557343199996,19.920244,0.968008377932,0.999767961055,0.00023203894450099996,4.84249846071,4.82,True,False,False,False
145,145,J122804.23+455127.9,187.017678846,45.8577068073,20.4099,0.824794537433,0.8653412919429999,0.111108324876,5.11087683333,,False,False,False,True
146,146,J104258.76+001642.3,160.74481868200002,0.27883618467300003,20.384626,0.819012587711,0.873568645763,0.126431354237,5.104606099750001,,False,False,False,True
147,147,J104433.03-012502.1,161.137664521,-1.41724748189,19.372920999999998,0.919647393073,0.947462878667,0.052497011330199995,5.7891203333300005,5.8,True,False,False,False
148,148,J011831.93+183551.1,19.6330412627,18.5976838791,19.641861,0.874970694649,0.966637982119,0.033362017880599996,4.91879072584,,False,False,False,True
149,149,J225257.44+204625.4,343.239394475,20.7736717029,19.36936,0.9183137148280001,0.989566124888,0.0104338751121,4.88001721976,4.91,True,False,False,False
150,150,J222736.53-131554.4,336.902344188,-13.265151778,19.389177,0.8108753723250001,0.9442625674740001,0.0557374325261,4.83685183276,,False,False,False,True
151,151,J000112.47+310608.2,0.30196426127099996,31.1021440235,20.116638000000002,0.956652278425,0.9894459216399999,0.010554078359499999,4.82848427079,,False,False,False,True
152,152,J000311.24+330842.7,0.796869490003,33.1454069464,19.924166,0.972274466156,0.9899154023450001,0.0100845976546,5.0359524783800005,,False,False,False,True
153,153,J114826.16+302018.8,177.10903651200005,30.338705279699997,19.766706,0.895762210834,0.9066379821189999,0.0933620178806,5.058905617790001,5.129,True,False,False,False
154,154,J162045.63+520246.6,245.190150479,52.0462984452,18.875162,0.9782619150190001,0.989964786428,0.00673746417731,4.876171371580001,4.79,True,False,False,False
155,155,J162100.94+515548.8,245.253823409,51.930223076400004,20.083914,0.808283113722,0.8948422879410001,0.0648449661441,5.740635,5.71,True,False,False,False
156,156,J102622.84+471906.9,156.59526479299998,47.3186592842,18.62799,0.983247769161,0.999914435828,8.55641719363e-05,4.89876135932,4.93,True,False,False,False
157,157,J141111.28+121737.4,212.79700162,12.293693469,19.580423,0.9527913325740001,0.9866187487479999,0.00338125125223,5.97091,5.93,True,False,False,False
158,158,J064133.77+592544.3,100.391494505,59.4288831983,20.385038,0.8462592332790001,0.865825358167,0.130841308499,5.21943793417,,False,False,False,True
159,159,J090706.06-031930.1,136.775488357,-3.3251860890900002,20.403006,0.894782404174,0.945959362689,0.0540406373113,4.93262290882,,False,False,False,True
160,160,J123606.04+465724.6,189.02520341099998,46.9569645313,19.825846,0.9666666666670001,0.9666666666670001,0.0333333333333,5.521173,5.55,True,False,False,False
161,161,J201907.43-024353.0,304.781281372,-2.73103827433,20.017807,0.849439750932,0.862685718127,0.13731428187300002,5.19482875,,False,False,False,True
162,162,J120134.56+741710.4,180.393342935,74.2866271976,20.13975,0.8027313275010001,0.8391372162909999,0.160862783709,5.13563631102,,False,False,False,True
163,163,J104041.14+162234.3,160.171231608,16.3760653525,19.346605,0.907494387949,0.992657116124,0.006808143945899999,4.86852633333,4.798,True,False,False,False
164,164,J183419.23+434923.0,278.579998107,43.8229619872,20.499008,0.942293806411,0.99,0.01,4.89031769148,,False,False,False,True
165,165,J010044.38+851235.6,15.185693562400001,85.2102991907,19.721584,0.859162442765,0.889295123019,0.11070487698100001,5.10666958527,,False,False,False,True
166,166,J143611.74+500706.9,219.048881083,50.118616081099994,20.090908,0.819743476659,0.8477556702369999,0.116811431522,5.83487642857,5.83,True,False,False,False
167,167,J102210.03+225224.8,155.541840753,22.8737032471,19.484169,0.9662211717970001,0.996582069012,0.0034179309879,5.32403923683,5.47,True,False,False,False
168,168,J101637.73+254131.6,154.157092124,25.692192597600002,18.833225,0.869198243153,0.897545034004,0.0820218616242,5.63254666667,5.64,True,False,False,False
169,169,J172509.69+762559.5,261.290867256,76.4331094888,20.212814,0.9259736487190001,0.9541823985060001,0.043491700702700004,5.0624010039,,False,False,False,True
170,170,J142535.96-023934.4,216.399867209,-2.6595771016799996,19.778833,0.9531276118109999,0.97643035115,0.020289408039,4.821771,4.75,True,False,False,False
